id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
26679212,756093,Kaua’i,Kauai,Lihue,21.96204,-159.3475,Entire home/apt,3604,1,1,71,273,1,New,7.0,7.0,5.0,Home
27133659,15138084,Bob,Kauai,Lihue,21.95944,-159.35615,Entire home/apt,239,1,230,1,188,70,4.86,2.0,2.0,5.0,Condo
26751666,201133438,Thames,Kauai,North Shore Kauai,22.22718,-159.47882,Entire home/apt,745,5,39,1,251,13,4.92,4.0,4.0,3.0,Home
26556069,10548519,Vacasa Hawaii,Kauai,North Shore Kauai,22.22551,-159.49031,Entire home/apt,325,4,53,90,346,18,4.83,2.0,2.0,2.0,Condo
26562099,2308436,Kauai,Kauai,Koloa-Poipu,21.87608,-159.45189,Entire home/apt,225,3,92,3,25,16,4.88,1.0,1.0,1.0,Cottage
26819970,175185644,Sean & Tracy,Kauai,North Shore Kauai,22.21774,-159.47446,Entire home/apt,200,1,169,2,208,45,4.98,0.0,1.0,1.0,Guest suite
27232062,38002952,Freddy,Kauai,North Shore Kauai,22.223,-159.47897,Entire home/apt,300,2,84,1,136,21,4.92,3.0,3.0,3.0,Condo
26839326,148245087,Alex,Kauai,North Shore Kauai,22.2215,-159.47006,Entire home/apt,293,1,137,3,179,27,4.94,2.0,2.0,2.0,Condo
27433581,29119056,Michelle,Kauai,North Shore Kauai,22.21512316923631,-159.48094905814835,Entire home/apt,165,3,140,1,107,41,4.91,2.0,2.0,1.0,Condo
26898340,30471845,Bryant  & Jane,Kauai,Koloa-Poipu,21.88461,-159.45781,Entire home/apt,485,7,79,4,244,16,4.94,3.0,3.0,3.0,Condo
26925348,71599286,Yelena,Kauai,Kapaa-Wailua,22.05912,-159.3221,Entire home/apt,150,180,12,1,68,0,4.67,2.0,2.0,5.0,Condo
27370825,71362662,Vacasa Hawaii,Kauai,North Shore Kauai,22.22344,-159.4923,Entire home/apt,370,2,33,62,331,15,4.58,1.0,1.0,2.0,Condo
27740705,10548519,Vacasa Hawaii,Kauai,North Shore Kauai,22.22268,-159.48047,Entire home/apt,386,3,29,90,355,10,4.76,3.0,3.0,3.0,Townhouse
27398668,183975343,Kauai Shores Hotel,Kauai,Kapaa-Wailua,22.053244,-159.329498,Private room,258,1,47,5,329,6,4.51,0.0,1.0,0.0,Hotel
27521283,62353986,Joseph,Kauai,Kapaa-Wailua,22.0574,-159.3259,Private room,178,3,112,2,276,27,4.86,1.0,1.0,0.0,Condo
27570900,98570220,Kanani,Kauai,Lihue,21.95983,-159.35607,Entire home/apt,208,4,14,62,323,8,4.57,2.0,2.0,5.0,Condo
27935487,183975343,Kauai Shores Hotel,Kauai,Kapaa-Wailua,22.053244,-159.329498,Private room,248,1,15,5,330,2,3.73,0.0,1.0,0.0,Hotel
27785538,71362662,Vacasa Hawaii,Kauai,Kapaa-Wailua,22.06278,-159.31932,Entire home/apt,221,2,55,62,365,20,4.67,2.0,2.0,1.0,Condo
27935509,183975343,Kauai Shores Hotel,Kauai,Kapaa-Wailua,22.053244,-159.329498,Private room,258,1,27,5,343,5,4.74,0.0,1.0,0.0,Hotel
27935574,183975343,Kauai Shores Hotel,Kauai,Kapaa-Wailua,22.053244,-159.329498,Private room,288,1,4,5,309,1,4.25,0.0,1.0,0.0,Hotel
27935725,183975343,Kauai Shores Hotel,Kauai,Kapaa-Wailua,22.053244,-159.329498,Private room,298,1,2,5,308,0,New,0.0,2.0,0.0,Hotel
27936806,122950338,Wayde,Kauai,North Shore Kauai,22.22429,-159.48191,Entire home/apt,1236,1,3,2,33,0,4.67,3.0,3.0,3.0,Condo
27604014,51902524,Renee,Kauai,North Shore Kauai,22.22175,-159.46958,Entire home/apt,395,7,2,3,0,0,New,0.0,2.0,1.0,Serviced apartment
