id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
935796,899157,Kevin,Honolulu,Primary Urban Center,21.27306,-157.79921,Entire home/apt,136,30,189,1,177,3,4.94,1.0,1.0,1.0,Guest suite
804274,4231961,Kevin,Honolulu,Primary Urban Center,21.27185,-157.82158,Entire home/apt,140,3,162,2,233,24,4.84,1.0,1.0,1.0,Rental unit
1303637,6827732,Angie,Honolulu,Primary Urban Center,21.28486,-157.83766,Entire home/apt,208,2,228,1,212,25,4.66,1.0,1.0,1.0,Rental unit
1154385,6326418,Alex,Honolulu,Primary Urban Center,21.28111,-157.82956,Entire home/apt,155,2,185,1,76,22,4.3,1.0,1.0,1.0,Condo
1164599,6379664,Steve,Honolulu,North Shore Oahu,21.6558,-158.0587,Private room,66,29,82,1,328,0,4.52,1.0,1.0,0.0,Rental unit
953390,5175727,Lois,Honolulu,Koolaupoko,21.3901,-157.71628,Entire home/apt,150,30,72,1,125,6,4.9,1.0,1.0,1.0,Guesthouse
960536,3414958,Phil,Honolulu,Ewa,21.3469,-158.08359,Entire home/apt,85,31,124,3,129,4,4.25,1.0,1.0,1.0,Home
966400,1866267,Raymond And Azlina,Honolulu,Koolauloa,21.64021,-157.91939,Private room,490,2,8,10,229,2,4.75,1.0,1.0,0.0,Resort
978111,5352187,Kris,Honolulu,Koolaupoko,21.40241,-157.7721,Entire home/apt,120,30,132,2,364,6,4.78,0.0,1.0,1.0,Guest suite
1346576,7054805,Eric,Honolulu,Primary Urban Center,21.29043,-157.84933,Entire home/apt,358,2,22,3,365,0,4.4,0.0,2.0,1.0,Condo
1188024,13837004,Roberta,Honolulu,Koolauloa,21.69889,-157.99409,Entire home/apt,350,1,127,1,257,24,4.56,2.0,2.0,3.0,Rental unit
1197879,1166569,Tamara,Honolulu,Koolauloa,21.69874,-157.99589,Entire home/apt,347,4,55,1,188,10,4.42,2.0,2.0,5.0,Condo
1001265,5448114,David,Honolulu,Primary Urban Center,21.28765,-157.83847,Entire home/apt,135,3,170,5,317,25,4.31,0.0,2.0,1.0,Condo
1364383,7389185,Cara,Honolulu,East Honolulu,21.2852,-157.7353,Entire home/apt,79,30,189,2,309,1,4.7,1.0,1.0,1.0,Loft
1012360,5352187,Kris,Honolulu,Koolaupoko,21.40854,-157.78061,Entire home/apt,313,30,46,2,252,1,4.83,4.0,4.0,5.0,Home
1014157,361961,Breeze,Honolulu,Waianae,21.45867,-158.20289,Entire home/apt,100,14,74,1,171,2,4.89,1.0,1.0,1.0,Rental unit
1229095,5448114,David,Honolulu,Primary Urban Center,21.28658,-157.83594,Entire home/apt,189,30,13,5,170,3,4.92,2.0,2.0,2.0,Rental unit
1021219,5256548,Olivier,Honolulu,Primary Urban Center,21.28114,-157.8261,Entire home/apt,124,28,264,6,125,3,4.81,0.0,2.0,1.0,Condo
