id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
808028063301046117,22635145,CB Island Vacations,Hawaii,South Kohala,19.9329191,-155.7924825,Entire home/apt,230,4,3,346,312,3,5.0,3.0,3.0,3.0,Rental unit
806659138093612330,495957354,Paula U,Hawaii,North Kona,19.666928923502123,-155.98466677527935,Entire home/apt,126,3,11,2,87,11,5.0,1.0,1.0,1.0,Guesthouse
806711758664399611,240078487,Steven,Hawaii,North Kona,19.61863,-155.98422,Entire home/apt,363,2,0,110,89,0,New,2.0,2.0,2.0,Rental unit
806716231469440522,240078487,Steven,Hawaii,North Kona,19.62029418110792,-155.98593609133457,Entire home/apt,359,2,0,110,90,0,New,2.0,2.0,2.0,Rental unit
808136595167860903,479840541,Louise,Hawaii,Puna,19.49675735128873,-154.91235831061155,Entire home/apt,85,2,3,2,363,3,5.0,1.0,1.0,1.0,Guest suite
806717507736426374,240078487,Steven,Hawaii,North Kona,19.61920312026698,-155.98443657135854,Entire home/apt,365,2,2,110,90,2,New,2.0,2.0,2.0,Rental unit
806727065125665684,107293305,Gather Vacations,Hawaii,North Kona,19.819466202719624,-155.9893686766359,Entire home/apt,1076,1,0,313,250,0,New,3.0,3.0,3.0,Condo
808176489727192533,16504696,Linda,Hawaii,North Kona,19.55568394338712,-155.96561405530335,Entire home/apt,586,4,2,1,87,2,New,3.0,3.0,5.0,Home
807494125410751862,240078487,Steven,Hawaii,North Kona,19.62417054908324,-155.98463209529146,Entire home/apt,301,2,1,110,90,1,New,2.0,2.0,2.0,Rental unit
807522869987196524,240078487,Steven,Hawaii,North Kona,19.62569,-155.98518,Entire home/apt,297,2,0,110,90,0,New,2.0,2.0,2.0,Rental unit
807561708435552272,484671491,Ben And Katherine,Hawaii,Puna,19.49144792787356,-155.0893336696106,Entire home/apt,36,1,10,7,85,10,4.4,1.0,1.0,1.0,Rental unit
808280225522087210,33163979,David,Hawaii,North Kona,19.64449,-155.99701,Entire home/apt,127,3,13,3,346,13,4.92,1.0,1.0,1.0,Rental unit
807699433774877990,410095524,Park Royal Kona Coast,Hawaii,North Kona,19.570279726089804,-155.96486855180018,Entire home/apt,200,1,0,14,3,0,New,1.0,1.0,1.0,Condo
807699968057917860,410095524,Park Royal Kona Coast,Hawaii,North Kona,19.569326823340276,-155.96482419453295,Entire home/apt,200,1,0,14,3,0,New,1.0,1.0,1.0,Condo
807700281504522779,410095524,Park Royal Kona Coast,Hawaii,North Kona,19.56908935813037,-155.96478999052582,Entire home/apt,200,1,0,14,3,0,New,1.0,1.0,1.0,Condo
807700593794835071,410095524,Park Royal Kona Coast,Hawaii,North Kona,19.570482952005214,-155.96280966165122,Entire home/apt,200,1,0,14,3,0,New,1.0,1.0,1.0,Condo
807700918757094285,410095524,Park Royal Kona Coast,Hawaii,North Kona,19.56925731486266,-155.96314674650307,Entire home/apt,200,1,0,14,3,0,New,1.0,1.0,1.0,Condo
807701234935900508,410095524,Park Royal Kona Coast,Hawaii,North Kona,19.56874378140617,-155.96515097244531,Entire home/apt,200,1,0,14,3,0,New,1.0,1.0,1.0,Condo
807701551275961783,410095524,Park Royal Kona Coast,Hawaii,North Kona,19.57085,-155.96366,Entire home/apt,200,1,0,14,3,0,New,1.0,1.0,1.0,Condo
807701878273668075,410095524,Park Royal Kona Coast,Hawaii,North Kona,19.5701733958226,-155.96282723614735,Entire home/apt,200,1,0,14,3,0,New,1.0,1.0,1.0,Condo
807702199455087498,410095524,Park Royal Kona Coast,Hawaii,North Kona,19.56884142984661,-155.96324844196573,Entire home/apt,200,1,0,14,3,0,New,1.0,1.0,1.0,Condo
810122340097048745,225939596,Mark,Hawaii,Kau,19.439369015721223,-155.2693867920349,Entire home/apt,145,2,0,15,329,0,New,1.0,1.0,1.0,Cab
811577945618888914,5615582,RoomPicks,Hawaii,North Kona,19.559445885095727,-155.9641560777692,Entire home/apt,565,1,0,323,213,0,New,1.0,1.0,1.0,Serviced apartment
811578767010810955,5615582,RoomPicks,Hawaii,North Kona,19.55958862638758,-155.9640520284265,Entire home/apt,630,1,0,323,29,0,New,1.0,1.0,1.0,Serviced apartment
810202055461392649,428576478,Ryan,Hawaii,North Kona,19.56055586064808,-155.9619126053089,Entire home/apt,226,2,0,105,90,0,New,1.0,1.0,1.0,Rental unit
